Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(Female),Symptoms (critical_stage),Medication (general),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers
Belly (abdominal) cramps,,,,,,"Antibiotics are beneficial in certain types of acute diarrhoea, they are usually not used except in specific situations. Over the counter drug    Pepto-Bismol ( Bismuth subsalicylate ) , or anti-motility drug Imodium plus (    Loperamide hydrochloride with simethicone ) are few of medicines for diarrhoea.",,,Drink fluids : It is important to drink plenty of fluids to avoid dehydration,,,,"IPD cases, the median out-of-pocket health expenditure for the management of one episode of diarrheal illness was Rs. 6385 (IQR: Rs. 5889) ranged from Rs. 2652–Rs. 24,299",Myth 1: Diarrhoea medicine will bung me up and delay my recovery from viral diarrhoea,"Diarrhea is the third leading cause of childhood mortality in India, and is responsible for 13% of all deaths/year in children under 5 years of age.",,Wash your hands often,"Stool studies including culture and other tests. This test checks for any abnormal bacteria in your digestive tract that may cause diarrhea and other problems. To do this, a small stool sample is taken and sent to a lab.",What is diarrhoea?,"Diarrhoea is an intestinal disorder characterized by abnormal fluidity and frequency of fecal evacuations, generally the result of increased motility in the colon; may be an important symptom of such underlying disorders as dysenteric diseases, lactose intolerance, GI tumors, and inflammatory bowel disease. Diarrhoea is the passage of watery stools. This means body fluids and salts can be quickly lost from the body. The child becomes dry (dehydrated) and this is very dangerous and may kill the child."
Stomach pain,,,,,,,,,"Oral Rehydration Solution  (ORS) : ORS should be used to prevent dehydration. Standard home solutions such as salted rice water, salted yoghurt drinks, vegetable and chicken soups with salt can be given. ",,,,"CMC, Vellore, reported a figure of Rs. 6634 as cost of hospitalization for one episode of diarrhea in nonprofit referral hospital and Rs. 6071 in a private hospital. The figure for government hospitals was much less, i.e., Rs. 233",Myth 2: As soon as the diarrhoea finishes I'm no longer infectious,"Total diarrheal deaths in India among children aged 0-6 years was estimated to be 158,209 and proportionate mortality due to diarrhea in this age-group was 9.1%.",,Use alcohol based sanitizers,"Sigmoidoscopy. This test lets your healthcare provider check the inside of part of your large intestine. It helps to tell what is causing diarrhea. A short, flexible, lighted tube (sigmoidoscope) is put into your intestine through the rectum. This tube blows air into your intestine to make it swell. This makes it easier to see inside. A biopsy can be taken if needed.",Why is diarrhoea dangerous?,"When a person gets diarrhoea, the body begins to lose a lot of water and salts - both of which are necessary for life. If the water and salts are not replaced fast, the body starts to ""dry up"" or get dehydrated. Severe dehydration can cause death.

"
Swelling (bloating),,,,,,,,,"Medications: Antibiotics are beneficial in certain types of acute diarrhoea, they are usually not used except in specific situations. Over the counter drug    Pepto-Bismol ( Bismuth subsalicylate ) , or anti-motility drug Imodium plus (    Loperamide hydrochloride with simethicone ) are few of medicines for diarrhoea.",,,,,Myth 3: If I have bloody diarrhoea I must have cancer,,,Eat foods that have been cleaned and cooked in a safe way,"Colonoscopy. This test looks at the full length of your large intestine. It can help check for any abnormal growths, tissue that is red or swollen, sores (ulcers), or bleeding. A long, flexible, lighted tube (colonoscope) is put into your rectum up into the colon. This tube lets your healthcare provider see the lining of your colon and take out a tissue sample (biopsy) to test it. He or she can also treat some problems that may be found.",What is dehydration?,"Dehydration is the loss of water and body salts through diarrhoea. The human body needs water to maintain enough blood and other fluids to function properly. If your body loses substantially more fluids than you are drinking, you become dehydrated. You may lose fluids in a variety of ways:

when urinating
when you vomit or have diarrhoea
when sweating
from the lungs during normal breathing.
Along with the fluids, your body also loses electrolytes, which are salts normally found in blood, other fluids, and cells.

"
Upset stomach (nausea),,,,,,,,,"Eating : WHO recommends a child with diarrhoea should continue to be fed. Continued feeding speeds the recovery of normal intestinal function. In contrast, children whose food  is restricted, have diarrhoea of longer duration and recovery of intestinal function is slow.",,,,,Myth 4: My viral diarrhoea will stop sooner if I don’t eat,,,Not take any foods or liquids that may have been infected with a bacteria or virus,Imaging tests. These tests can see if there are any problems with the way your organs are formed (structural abnormalities).,How does dehydration occur?,"The usual causes of dehydration are a lot of diarrhoea and vomiting. Dehydration can also occur if you do not eat or drink much during an illness or if you do not drink enough during or after strenuous exercise. Medications that cause fluid loss to control excess body fluid (diuretics) are a common long-term cause. Although anyone can become dehydrated, those who become dehydrated the most easily are:

babies under 1 year old
the elderly
anyone who has a fever
"
Urgent need to go to the bathroom,,,,,,,,,,,,,,Myth 5: Flat lemonade will sort out my diarrhoea,,,Not drinking tap water or using it to brush your teeth,Fasting tests. These tests show if you are unable to digest certain foods (food intolerance). They can also tell if certain foods bring on an immune system reaction (food allergy).,What are the symptoms of dehydration?,"Symptoms of early or mild dehydration include:

flushed face
extreme thirst, more than normal or unable to drink
dry, warm skin
cannot pass urine or reduced amounts, dark, yellow
dizziness made worse when you are standing
weakness
cramping in the arms and legs
crying with few or no tears
sleepy or irritable
unwell
headaches
dry mouth, dry tongue; with thick saliva.
Symptoms of moderate to severe dehydration include:

low blood pressure
fainting
severe muscle contractions in the arms, legs, stomach, and back
convulsions
a bloated stomach
heart failure
sunken fontanelle - soft spot on a infants head
sunken dry eyes, with few or no tears
skin loses its firmness and looks wrinkled
lack of elasticity of the skin (when a bit of skin lifted up stays folded and takes a long time to go back to its normal position)
rapid and deep breathing - faster than normal
fast, weak pulse
"
Fever,,,,,,,,,,,,,,Fact 1: A significant proportion of diarrhoeal disease can be prevented through safe drinking-water and adequate sanitation and hygiene.,,,Not using ice made from tap water,"Blood tests. These can look for metabolic problems like thyroid disease, anemia (low blood count), evidence of low vitamin levels suggesting poor absorption, and celiac disease, among other things.",How is dehydration treated?,"If you are mildly dehydrated, you need to drink enough liquid to replace the fluids you have lost. Also, you need to replace the electrolytes (salts) you have lost. Drinking sips of water slowly, along with eating the typical American diet, which is high in salt, will replace fluids and salts you have lost. Nonprescription medicines are available that help replenish fluids and electrolytes. You can also replace both fluids and electrolytes by drinking sports drinks or an oral rehydration solution (ORS).


Drink the solution (or give it to the dehydrated person if he or she is conscious) immediately. Do not wait until dehydration becomes severe."
Bloody stools,,,,,,,,,,,,,,"Fact 2: Globally, there are nearly 1.7 billion cases of childhood diarrhoeal disease every year.",,,Not drinking milk or milk items that have not gone through a process to kill certain bacteria (pasteurization),,What if symptoms of dehydration begin to appear?,"The child should be taken quickly to the nearest health post, or station where prepacked ORS is available. The trained health worker will then show the parents how to mix ORS and supervise giving it. The health worker should also be able to assess a child who is severely dehydrated who needs hospital treatment (including IV if necessary). During the time before the complete ORS can be started the home-prepared solution should continue to be given. In the unfortunate event that complete formula ORS is unavailable the home-prepared solution will have to be used instead BUT it is not as effective for the TREATMENT of dehydration. Only in a minority of countries, such as some of the more affluent ones and some other mostly fairly small countries with easy communications, is prepacked ORS recommended as the exclusive treatment both for preventive, first-line treatment in the hoe and for treatment of dehydration. In most countries, home-prepared solutions are the recommendation for prevention and complete formula ORS for treatment, as described here.

"
Loss of body fluids (dehydration),,,,,,,,,,,,,,Fact 3: Diarrhoea is a leading cause of malnutrition in children under five years old.,,,Not eating any fresh or raw fruits and vegetables unless you wash and peel them yourself,,How long will the effects of dehydration last?,"If dehydration is not treated, it can cause death. If it is treated in time,
recovery is usually complete."
Leaking stool and not being able to control your bowels (incontinence),,,,,,,,,,,,,,Fact 4: Dehydaration is a serious risk,,,Making sure all meat and fish have been cooked to at least medium doneness,,What is ORT?,"ORT is the giving of fluid by mouth to prevent and/or correct the dehydration that is a result of diarrhoea. As soon as diarrhoea begins, treatment using home remedies to prevent dehydration must be started. If adults or children have not been given extra drinks, or if in spite of this dehydration does occur, they must be treated with a special drink made with oral rehydration salts (ORS) . The formula for ORS recommended by WHO and UNICEF contains:

3.5 gms sodium chloride
2.9 gms trisodium citrate dihydrate (or 2.5 gms sodium bicarbonate)
1.5 gms potassium chloride
20 gms glucose (anhydrous)
The above ingredients are dissolved in one litre of clean water. WHO has recently recommended a change in the complete formula, replacing 2.5 gms of sodium bicarbonate with 2.9 gms of trisodium citrate dihydrate. The new formula gives the packets a longer shelf life and is at least as effective in correcting acidosis and reducing stool volume. Packets containing sodium bicarbonate are still safe and effective."
,,,,,,,,,,,,,,Fact 5: Drugs can cause diarrhea,,,Not eating raw or rare-cooked meat or fish,,How does ORT work?,"Acute diarrhea normally only lasts a few days. ORT does not stop the diarrhoea, but it replaces the lost fluids and essential salts thus preventing or treating dehydration and reducing the danger. The glucose contained in ORS solution enables the intestine to absorb the fluid and the salts more efficiently. ORT alone is an effective treatment for 90-95% of patients suffering from acute watery diarrhoea, regardless of cause, This makes intravenous drip therapy unnecessary in all but the most severe cases."
