Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms (critical_stage),Medication (general),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers
fever,Moderate Dehydration - Urinates less frequently (less than 6 wet diapers per day),,,Data are limited on health outcomes of dengue in pregnancy and effects of maternal infection on the developing fetus.,Stomach or belly pain,There is no specific medicine to treat dengue.,,,Rest as much as possible,,,Blood pressure monitoring,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values (dengue with warning sign - pediatrics) - 9371 (5871–20 792)",About one in four people infected with dengue will get sick.,Dengue fever is typically a self-limited disease with a mortality rate of less than 1% when detected early and with access to proper medical care.,,Wear long-sleeved shirts and long pants.,"Dengue NS1 Antigen Test - This is a blood test to detect the dengue virus early in the course of an infection.It should be done within the first five days of the appearance of symptoms because after five-seven days, the chances of false positive and negative results are high.This test does not differentiate between different dengue serotypes.The NS1 Antigen test is comparatively cheaper than other lab tests for dengue.",Which type of doctor should one consult for dengue fever?,Consult a physician or an infectious disease doctor.
Nausea,"Moderate Dehydration - Dry mouth, tongue, lips",,,"Perinatal transmission can occur during pregnancy, and peripartum maternal infection may increase the likelihood of symptomatic infection in the newborn.",tenderness,Take acetaminophen (also known as paracetamol outside of the United States) to control fever and relieve pain.,,,"Provide fluids such a water, juice, milk, or drinks with added electrolytes.",,,Intravenous (IV) fluid and electrolyte replacement,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(dengue with warning sign - adults) - 18,555 (13,628–25,151)","For people who get sick with dengue, symptoms can be mild or severe","When treated, severe dengue has a mortality rate of 2%-5%, but, when left untreated, the mortality rate is as high as 20%.",,Keep mosquitoes outside: Use screens on windows and doors.,"Immunoglobulin M (IgM) - This test looks for IgM (antibodies) in the blood, which appear in the early course of the disease (acute infection). The test can also help to differentiate between primary (first time infection) and secondary (second time infection with any of the dengue virus) infection. It is advised to undergo a dengue antibody IgM test, if you are experiencing symptoms of dengue for more than a week or 10 days.This test is not advised if you have a secondary dengue infection.",Is dengue contagious from person to person?,"No, dengue is not contagious and cannot be spread merely by person to person contact. The dengue virus is carried and transmitted by mosquitoes. If a mosquito bites someone with dengue, and then bites another person, the second person can get infected. This is usually how dengue spreads and can sometimes become an epidemic."
vomiting,Moderate Dehydration - Few or no tears when crying,,,,Vomiting (at least 3 times in 24 hours),"Do not take ibuprofen, aspirin, or aspirin-containing drugs.",,,Sponge the person’s skin with cool water to reduce fever,,,Transfusion to replace blood loss,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(severe dengue - adults) - 46,538 (25,144–66,894)",Severe dengue can be life-threatening within a few hours and often requires care at a hospital,,,Use air conditioning if available.,"Immunoglobulin G (IgG) - The test is used to detect infection in the later course of the disease because the level of IgG in the blood tends to increase slowly.To distinguish between primary and secondary dengue infections, IgG/IgM ratio test is commonly used.You can get an IgG antibody test for dengue after a week.This test is not advised for acute infections.",Can I be infected with dengue a second or more times?,"Yes. Dengue is caused by four different viral strains and infection with one virus does not protect a person against infection from the other three strains. Hence one can be infected by dengue four times. Subsequent infections increase the risk for the most serious forms of dengue, such as dengue hemorrhagic fever and dengue shock syndrome."
"Moderate Dehydration - Thirst, dry or sticky mouth",Moderate Dehydration - Sunken soft spot of the head,,,,Bleeding from the nose or gums,Doctors can diagnose dengue infection with a blood test to check for the virus or antibodies to it.,,,Prevent dehydration,,,Supportive care in a hospital,"Expenses from Private Not-for-profit hospitalin rupees, median(IQR) values(severe dengue - pediatrics) - 60,305 (25,872–72,186)","An estimated 400 million dengue infections occur worldwide each year, with about 96 million resulting in illness",,,Use Environmental Protection Agency (EPA)-registered insect repellent.,Dengue RNA PCR test - It is a primary test used to detect dengue virus in the early course of the infection. A positive result not only confirms the infection but also helps to identify the different serotypes of the dengue virus.The dengue RNA PCR test can provide positive results if the test is done within five days after the symptoms start to appear.The test can only be performed in certain laboratories.,What kinds of mosquito repellents are safe?,It is safe to use a repellent that has DEET (diethyltoluamide or diethylmethylbenzamide) or picaridin. One should however be careful when using it on children and infants. Please read the safety label of the manufacturer before usage.
"Moderate Dehydration - Not peeing very much, dark yellow pee",Severe Dehydration - Urinates 1-2 times per day,,,,Vomiting blood,,,,,,,,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values (dengue without warning sign - pediatrics) - 11,615 (5,524–27,682)",Most cases occur in tropical areas of the world,,,,,Where do most outbreaks of dengue occur?,"Outbreaks of dengue occur primarily in areas where Aedes aegypti mosquitoes breed and thrive, i.e., mostly in tropical and sub-tropical areas of the world. These include India, Bangladesh, Pakistan, Southeast Asia, parts of South and Central Africa, Caribbean, Mexico, and parts of South and Central America. Dengue viruses may be introduced into other areas by travelers who become infected while visiting the tropics where dengue commonly exists."
"Moderate Dehydration - Dry, cool skin","Severe Dehydration - Cool, discolored hands or feet",,,,blood in the stool,,,,,,,,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(dengue without warning sign - adults) - 20,204 (11,276–34,304)",Dengue fever is caused by a virus. A certain type of mosquito (Aedes) passes the virus to people through its bites.,,,,,Can one treat dengue with antibiotics?,"No, since dengue is caused by a virus, antibiotics are not effective against it and should not be used."
severe headache,"Severe Dehydration - Cool, discolored hands or feet",,,,Cold clammy skin,,,,,,,,,Dengue can range from asymptomatic infection or mild illness to severe disease.,,,,, Is dengue a deadly disease? Can one die from dengue fever?,"Although dengue fever is a serious and often painful condition, it is not a deadly disease and does not lead to death. With proper care, most people infected with dengue usually make a full recovery unless complications occur. These complications may include Dengue Hemorrhagic Fever (DHF) and Dengue Shock Syndrome (DSS). In some of these cases death can occur but is rare. With proper care and treatment, even patients with DHF or DSS can make a full recovery. Hospitalization is highly recommended in cases of DHF or DSS and greatly increases the chances of survival."
Fatigue,"Severe Dehydration - Sleepiness, lack of energy, very fussy",,,,Difficulty breathing,,,,,,,,,"Dengue is caused by one of any of four related viruses: Dengue virus 1, 2, 3, and 4.  For this reason, a person can be infected with a dengue virus as many as four times in his or her lifetime.",,,,,What can be done to reduce the risk of acquiring dengue?,Reducing stagnant water bodies that are the main breeding centers for the female Aedes mosquitoes to lay their eggs reduces the risk of acquiring dengue.
nose bleed,,,,,"Feeling tired, restless, or irritable",,,,,,,,,,,,,,How can we prevent epidemics of dengue hemorrhagic fever (DHF)?,Development of an effective vaccine against the dengue virus is the most promising solution. Others are eradication of the Aedes aegypti vector and spraying ultra-low volume (ULV) insecticides to kill adult mosquitoes. Both methods have not been viable.
easy bruising,,,,,"Severe Dehydration - rapid heart rate, breathing",,,,,,,,,,,,,,Is dengue fatal?,Severe dengue or dengue hemorrhagic fever can be fatal.
