Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms (critical_stage),Medication (general),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers
Increased thirst,,,Decreased sex drive, Dry and itchy skin,High blood sugar,Glipizide,,Metformin,,Insulin,Insulin,Fluid replacement,13179 per year,Diabetics can consume sugar,98% for 10 years,,Diet,Blood sugar level,What should my blood sugar be?,A blood glucose range of 80-130 before meals and less than 180 about 2 hours after a meal. This range should place your A1c under 7.
Weak and tired feeling,,,Erectile dysfunction,Frequent yeast infections or urinary tract infections,Increased thirst and/or hunger,Glimepride,,Thiazolidinediones,,,,Electrolyte replacement,18890 per year (North Zone),,92.1% for 20 years,,Exercise,Ketone level,What is an A1c?, A Hemoglobin A1c is a 2-3 month average of your blood sugars. The recommended A1c is less than 7 
Blurred vision,,,Decreased muscle strength.,Frequent urination,Blurred vision,Glyburide,,Sulfonylureas,,,,Insulin therapy,10585 per year (South Zone),,79.6% for 30 years,,Losing weight,Blood acidity,What is Diabetes Mellites? How do you get it?,A high level of glucose in the blood is called diabetes.
Numbness or tingling in the hands or feet,,,, Nausea,Frequent urination (peeing),Metformin,,Meglitinides,,,,,45792 per year (Northeast Zone),,,,Quitting Smoking,Blood electrolyte tests,How to manage Diabetes?,The most important part of managing diabetes is your diet
Slow-healing sores or cuts,,,, Thirst,Headache,Pioglitozone,,Insulin Therapy,,,,,8822 per year (West Zone),,,,Aerobic exercise,Urinalysis, What can I do to prevent Diabetes?,"The prevention of diabetes requires physical efforts every day,"
Unplanned weight loss,,,, Tiredness,"Fatigue (feeling weak, tired)",Rosiglitozone,,Incretinmimetics,,,,,19020 per month (foot),,,,Resistance exercise,Chest X-ray,What are the complications of Diabetes Mellitus?,iabetes Mellitus can affect your kidney heart eyes and nerves
Frequent urination,,,,,Weight loss,Acarbose,,,,,,,12690 per month (renal),,,,Limited inactivity,ECG or EKG,,
Frequent unexplained infections,,,,,Vaginal and skin infections,miglitol,,,,,,,13135 per month (cardiac),,,,Eat healthy plant foods,Random blood sugar test,,
Dry mouth,,,,,Slow-healing cuts and sores,Repaglinide,,,,,,,13922 per month (retinal),,,,,Fasting blood sugar test,,
increased thirst and urination,,,,,Vomiting,nateglinide,,,,,,,,,,,,Oral glucose tolerance test,,
increased hunger,,,,,Dehydration,Sitagliptin,,,,,,,,,,,,,,
fatigue,,,,,Unusual fruity smell on the breath,saxagliptin,,,,,,,,,,,,,,
blurred vision,,,,,Deep labored breathing or hyperventilation,linagliptin,,,,,,,,,,,,,,
numbness or tingling in the feet or hands,,,,,Rapid heartbeat,alogliptin,,,,,,,,,,,,,,
sores that do not heal,,,,,Confusion and disorientation,Canagliflozin,,,,,,,,,,,,,,
unexplained weight loss,,,,,Coma,dapagliflozin,,,,,,,,,,,,,,
Celiac disease,,,,,Peeing more often than usual (frequent urination),empagliflozin,,,,,,,,,,,,,,
Eating disorders,,,,,Extreme thirst,Colesevelam,,,,,,,,,,,,,,
Gastroparesis,,,,,Dehydration,Bromocriptine,,,,,,,,,,,,,,
adrenal insufficiency,,,,,Headache,,,,,,,,,,,,,,,
hypothyroidism,,,,,High amounts of ketones in your pee or blood (as shown by at-home urine ketone test strips or a blood meter test),,,,,,,,,,,,,,,
Stress,,,,,High blood glucose (blood sugar) levels (over 250 mg/dL),,,,,,,,,,,,,,,
anxiety,,,,,Nausea and vomiting,,,,,,,,,,,,,,,
depression,,,,,Abdominal pain,,,,,,,,,,,,,,,
"Dizziness, weakness or shaking",,,,,Shortness of breath,,,,,,,,,,,,,,,
Fast heart rate,,,,,Fruity-smelling breath,,,,,,,,,,,,,,,
Irritability or confusion,,,,,Feeling very tired or weak,,,,,,,,,,,,,,,
Pale skin,,,,,Feeling disoriented or confused,,,,,,,,,,,,,,,
Restless sleep,,,,,Decreased alertness,,,,,,,,,,,,,,,
Sweating,,,,,Tiredness,,,,,,,,,,,,,,,
Sudden hunger,,,,,Abdominal pain,,,,,,,,,,,,,,,
Blurry vision,,,,,Shortness of breath,,,,,,,,,,,,,,,
"Fatigue (feeling weak, tired)",,,,,Increased urination,,,,,,,,,,,,,,,
Frequent urination (peeing),,,,,Weak pulse,,,,,,,,,,,,,,,
Headache,,,,,Drowsiness,,,,,,,,,,,,,,,
Skin infections and slow-healing cuts,,,,,Walking unsteadily,,,,,,,,,,,,,,,
Thirst or hunger,,,,,Increased thirst,,,,,,,,,,,,,,,
Confusion,,,,,Rapid heart rate,,,,,,,,,,,,,,,
Dehydration,,,,,Dry mouth,,,,,,,,,,,,,,,
Fast heart rate,,,,,Fruity smell to your breath,,,,,,,,,,,,,,,
Fruity-smelling breath,,,,,Hunger,,,,,,,,,,,,,,,
Trouble breathing,,,,,Weakness and tiredness,,,,,,,,,,,,,,,
Vomiting,,,,,Sweating,,,,,,,,,,,,,,,
,,,,,Fast breathing,,,,,,,,,,,,,,,
,,,,,"Shakiness, nervousness and/or anxiety",,,,,,,,,,,,,,,
,,,,,Nausea,,,,,,,,,,,,,,,
,,,,,Confusion and problems communicating,,,,,,,,,,,,,,,
,,,,,"Light-headedness, dizziness",,,,,,,,,,,,,,,
,,,,,Hunger,,,,,,,,,,,,,,,
,,,,,Drinking too much alcohol,,,,,,,,,,,,,,,
,,,,,Eating too little,,,,,,,,,,,,,,,
,,,,,Exercising too much,,,,,,,,,,,,,,,
,,,,,Taking too much insulin,,,,,,,,,,,,,,,
,Breathing problems.,,,,"If you have too much glucose in your blood, you have a condition called hyperglycemia. ","niacin, a type of vitamin B3",,,"Keep your blood glucose levels as near to normal as possible by following a diet plan, taking prescribed medication and increasing your activity level.","There's currently no known way to prevent type 1 diabetes, but this is a very active area of research",,atients who have Type 1 diabetes. A pancreas transplant is possible.,,Facts: Adults with diabetes have a two- to three-fold increased risk of heart attacks and strokes,Cardiovascular disease,,achieve and maintain a healthy body weight;,"blood glucose control, particularly in type 1 diabetes. People with type 1 diabetes require insulin, people with type 2 diabetes can be treated with oral medication, but may also require insulin;",How common are diabetes-related foot conditions?,The chance that a person with diabetes will develop a foot condition at some time in their life is about 15%.
,Hypoglycemia,,,,,"certain types of diuretics, also called water pills",,,Maintain your blood cholesterol (HDL and LDL levels) and triglyceride levels as near the normal ranges as possible.,You can help your child prevent diabetes type -1 complications by: Working with your child to maintain good blood sugar control as much as possible,,Another type of transplant is a pancreatic islet transplant.,,"Facts: Combined with reduced blood flow, neuropathy (nerve damage) in the feet increases the chance of foot ulcers, infection and eventual need for limb amputation.",Nerve damage (neuropathy),,"be physically active and doing at least 30 minutes of regular, moderate-intensity activity on most days. More activity is required for weight control;",blood pressure control;,What is the outlook for people with diabetes-related foot conditions?,"The outlook depends on factors such as: How early the wound was found, Presence of infection and how much it spreads, Treatment effectiveness. If the infection can't be controlled and spreads too far, amputation may be necessary."
,Obesity,,,,,anti-seizure drugs,,,Control your blood pressure. Your blood pressure should not be over 140/90 mmHg.,You can help your child prevent diabetes type -1 complications by: Teaching your child the importance of eating a healthy diet and participating in regular physical activity,,Another treatment under research for Type 1 diabetes is immunotherapy. ,,"Facts: Diabetic retinopathy is an important cause of blindness, and occurs as a result of long-term accumulated damage to the small blood vessels in the retina.",Kidney damage (nephropathy),,"eat a healthy diet, avoiding sugar and saturated fats; and",foot care (patient self-care by maintaining foot hygiene; wearing appropriate footwear; seeking professional care for ulcer management; and regular examination of feet by health professionals).,When should I seek medical care for diabetes-related foot pain?,"Any changes in foot shape, Any changes to the skin on the feet, including a wound, redness or darkness, warmth or a funny smell, Hair loss on your toes, feet or legs, Loss of feeling in the toes, feet or legs, Pain, tingling, burning or cramping in the feet or legs, Thick, yellow toenails."
,Premature birth.,,,,,psychiatric drugs,,,Mediterranean diet (,You can help your child prevent diabetes type -1 complications by: Scheduling regular visits with your child's diabetes health care professional,,"Bariatric surgery is an option if you have Type 2 diabetes, are obese (body mass index over 35) and considered a good candidate for this type of surgery.",,Facts: Diabetes is among the leading causes of kidney failure,Eye damage (retinopathy),,avoid tobacco use and smoking increases the risk of diabetes and cardiovascular disease.,screening and treatment for retinopathy (which causes blindness);,What is diabetes?,Diabetes happens when your body isn't able to take up sugar (glucose) into its cells and use it for energy. This results in a build up of extra sugar in your bloodstream.
,Type 2 diabetes.,,,,,drugs to treat human immunodeficiency virus (HIV),,,Dash diet,,,"If your blood sugar is too high, you'll receive: Intravenous fluids, Supplements of phosphate, sodium, and potassium, Insulin",,,Foot damage,,"Eating healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains.",blood lipid control (to regulate cholesterol levels);,What are the different types of diabetes?,"Type 1 diabetes, Type 2 diabetes, Prediabetes, Gestational diabetes, Monogenic diabetes syndromes, Cystic fibrosis-related diabetes, Drug or chemical-induced diabetes, Diabetes insipidus"
,,,,,,"pentamidine, a drug used to treat a type of pneumonia",,,Exercising regularly,,,"If your blood sugar is too low, you will receive: Glucagon (a hormone to increase blood sugar), Intravenous fluids, 50% dextrose solution. ",,,Skin conditions,,"Getting active. Aim for 150 or more minutes a week of moderate to vigorous aerobic activity, such as a brisk walk, bicycling, running or swimming.",screening for early signs of diabetes-related kidney disease and treatment.,How common is diabetes?,The number of people who are diagnosed with diabetes increases with age. More than 26% of adults age 65 and older (about 1 in 4) have diabetes.
,,,,,,"glucocorticoidsmedicines used to treat inflammatory illnesses such as rheumatoid arthritis NIH external link, asthma NIH external link, lupus NIH external link, and ulcerative colitis",,,Losing weight,,,"main treatments for more advanced diabetic retinopathy are: laser treatment, injections of medication into your eyes, an operation to remove blood or scar tissue from your eye",,,Hearing impairment,,"Losing weight. Losing a modest amount of weight and keeping it off can delay the progression from prediabetes to type 2 diabetes. If you have prediabetes, losing 7% to 10% of your body weight can reduce the risk of diabetes.",Fasting plasma glucose test: This test is best done in the morning after an eight hour fast (nothing to eat or drink except sips of water).,Who gets diabetes? What are the risk factors?,"Risk factors for Type 1 diabetes include:  Having a family history, njury to the pancreas, Physical stress, Presence of autoantibodies, Exposure to illnesses caused by viruses .   Risk factors for prediabetes and Type 2 diabetes include: Being overweight, Having high blood pressure, Having low HDL cholesterol and high triglyceride level, Being physically inactive, Being age 45 or older, Having gestational diabetes or giving birth to a baby weighing more than 9 pounds, Having polycystic ovary syndrome., Being a smoker"
,,,,,,"anti-rejection medicines, used to help stop the body from rejecting a transplanted organ",,,"Taking medication and insulin, if prescribed, and closely following recommendations on how and when to take it.",,,,,,Alzheimer's disease,,Avoiding inactivity for long periods. Sitting still for long periods can increase your risk of type 2 diabetes. Try to get up every 30 minutes and move around for at least a few minutes.,Random plasma glucose test: This test can be done any time without the need to fast.,What happens if my blood glucose level is low?,"Having a blood glucose level that is lower than the normal range (usually below 70 mg/dL) is called hypoglycemia. And you might experience Weakness or shaking.Moist skin, sweating, Dizziness, Sudden hunger."
,,,,,,"Sulfonylureas: These drugs lower blood glucose by causing the pancreas to release more insulin. Examples include glimepiride (Amaryl®), glipizide (Glucotrol®) and glyburide (Micronase®, DiaBeta®).",,,"Type 1 diabetes: If you have this type, you must take insulin every day. Your pancreas no longer makes insulin.",,,,,,Depression,,Monitoring your blood glucose and blood pressure levels at home.,"A1c test: This test, also called HbA1C or glycated hemoglobin test, provides your average blood glucose level over the past two to three months. This test measures the amount of glucose attached to hemoglobin, the protein in your red blood cells that carries oxygen. You don't need to fast before this test.",What happens if my blood glucose level is high?,"If you have too much glucose in your blood, you have a condition called hyperglycemia. "
,,,,,,Glinides (also called meglitinides): These drugs lower blood glucose by getting the pancreas to release more insulin. Examples include repaglinide (Prandin®) and nateglinide (Starlix®).,,,"Type 2 diabetes: If you have this type, your treatments can include medications (both for diabetes and for conditions that are risk factors for diabetes), insulin and lifestyle changes such as losing weight, making healthy food choices and being more physically active.",,,,,,Excess growth ,,Keeping your appointments with your healthcare providers and having laboratory tests completed as ordered by your doctor.,"Oral glucose tolerance test: In this test, blood glucose level is first measured after an overnight fast. Then you drink a sugary drink. Your blood glucose level is then checked at hours one, two and three.",What insulin medications are approved to treat diabetes?,"Rapid-acting insulins, Short-acting insulins, Intermediate-acting insulins, Long-acting insulins."
,,,,,,"Biguanides: These drugs reduce how much glucose the liver produces. It also improves how insulin works in the body, and slows down the conversion of carbohydrates into sugar. Metformin (Glucophage®) is the example.",,,"Prediabetes: If you have prediabetes, the goal is to keep you from progressing to diabetes. Treatments are focused on treatable risk factors, such as losing weight by eating a healthy diet (like the Mediterranean diet) and exercising (at least five days a week for 30 minutes). Many of the strategies used to prevent diabetes are the same as those recommended to treat diabetes (see prevention section of this article).",,,,,,Low blood sugar,,Quitting smoking (if you smoke).,"Gestational diabetes tests: There are two blood glucose tests if you are pregnant. With a glucose challenge test, you drink a sugary liquid and your glucose level is checked one hour later. You don't need to fast before this test.",How is insulin taken? How many different ways are there to take insulin?,"Needle and syringe, Insulin pen, Insulin pump, Artificial pancreas, Insulin inhaler, Insulin injection port, Jet injector"
