Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers,condition,Symptoms(Critical_stage),Medication(general)
Increased thirst,,,Decreased sex drive, Dry and itchy skin,,Metformin,,Insulin,Insulin,Fluid replacement,13179 per year,Diabetics can consume sugar,98% for 10 years,,Diet,Blood sugar level,What should my blood sugar be?,A blood glucose range of 80-130 before meals and less than 180 about 2 hours after a meal. This range should place your A1c under 7.,diabetes,High blood sugar,Glipizide
Weak and tired feeling,,,Erectile dysfunction,Frequent yeast infections or urinary tract infections,,Thiazolidinediones,,,,Electrolyte replacement,18890 per year (North Zone),,92.1% for 20 years,,Exercise,Ketone level,What is an A1c?, A Hemoglobin A1c is a 2-3 month average of your blood sugars. The recommended A1c is less than 7 ,diabetes,Increased thirst and/or hunger,Glimepride
Blurred vision,,,Decreased muscle strength.,Frequent urination,,Sulfonylureas,,,,Insulin therapy,10585 per year (South Zone),,79.6% for 30 years,,Losing weight,Blood acidity,What is Diabetes Mellites? How do you get it?,A high level of glucose in the blood is called diabetes.,diabetes,Blurred vision,Glyburide
Numbness or tingling in the hands or feet,,,, Nausea,,Meglitinides,,,,,45792 per year (Northeast Zone),,,,Quitting Smoking,Blood electrolyte tests,How to manage Diabetes?,The most important part of managing diabetes is your diet,diabetes,Frequent urination (peeing),Metformin
Slow-healing sores or cuts,,,, Thirst,,Insulin Therapy,,,,,8822 per year (West Zone),,,,Aerobic exercise,Urinalysis, What can I do to prevent Diabetes?,"The prevention of diabetes requires physical efforts every day,",diabetes,Headache,Pioglitozone
Unplanned weight loss,,,, Tiredness,,Incretinmimetics,,,,,19020 per month (foot),,,,Resistance exercise,Chest X-ray,What are the complications of Diabetes Mellitus?,iabetes Mellitus can affect your kidney heart eyes and nerves,diabetes,"Fatigue (feeling weak, tired)",Rosiglitozone
Frequent urination,,,,,,,,,,,12690 per month (renal),,,,Limited inactivity,ECG or EKG,,,diabetes,Weight loss,Acarbose
Frequent unexplained infections,,,,,,,,,,,13135 per month (cardiac),,,,Eat healthy plant foods,Random blood sugar test,,,diabetes,Vaginal and skin infections,miglitol
Dry mouth,,,,,,,,,,,13922 per month (retinal),,,,,Fasting blood sugar test,,,diabetes,Slow-healing cuts and sores,Repaglinide
increased thirst and urination,,,,,,,,,,,,,,,,Oral glucose tolerance test,,,diabetes,Vomiting,nateglinide
increased hunger,,,,,,,,,,,,,,,,,,,diabetes,Dehydration,Sitagliptin
fatigue,,,,,,,,,,,,,,,,,,,diabetes,Unusual fruity smell on the breath,saxagliptin
blurred vision,,,,,,,,,,,,,,,,,,,diabetes,Deep labored breathing or hyperventilation,linagliptin
numbness or tingling in the feet or hands,,,,,,,,,,,,,,,,,,,diabetes,Rapid heartbeat,alogliptin
sores that do not heal,,,,,,,,,,,,,,,,,,,diabetes,Confusion and disorientation,Canagliflozin
unexplained weight loss,,,,,,,,,,,,,,,,,,,diabetes,Coma,dapagliflozin
Celiac disease,,,,,,,,,,,,,,,,,,,diabetes,Peeing more often than usual (frequent urination),empagliflozin
Eating disorders,,,,,,,,,,,,,,,,,,,diabetes,Extreme thirst,Colesevelam
Gastroparesis,,,,,,,,,,,,,,,,,,,diabetes,Dehydration,Bromocriptine
adrenal insufficiency,,,,,,,,,,,,,,,,,,,diabetes,Headache,
hypothyroidism,,,,,,,,,,,,,,,,,,,diabetes,High amounts of ketones in your pee or blood (as shown by at-home urine ketone test strips or a blood meter test),
