Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms(Critical_stage),Medication(babies/infants),Medication(old people),Medication(general),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers,condition
Increased thirst and frequent urination,Breathing problems,,Decreased sex drive,Dry and itchy skin,"High blood sugar, Increased thirst and/or hunger, Blurred vision",,Metformin,Glipizide,"Keep your blood glucose levels as near to normal as possible by following a diet plan, taking prescribed medication and increasing your activity level.","You can help your child prevent diabetes type -1 complications by: Working with your child to maintain good blood sugar control as much as possible, Teaching your child the importance of eating a healthy diet and participating in regular physical activity and scheduling regular visits with your child's diabetes health care professional.",Insulin,Fluid and Electrolyte replacement,13179 per year,Diabetics can consume sugar,98% for 10 years,,Good diet and exercise,Blood sugar level,What should my blood sugar be?,A blood glucose range of 80-130 before meals and less than 180 about 2 hours after a meal. This range should place your A1c under 7.,diabetes
Fatugue and Blurred vision,Hypoglycemia,,Erectile dysfunction,Frequent yeast infections or urinary tract infections,Frequent urination (peeing),,Thiazolidinediones,Glimepride,Maintain your blood cholesterol and triglyceride levels ,,,Insulin therapy,19020 per month (foot),Facts: Adults with diabetes have a two- to three-fold increased risk of heart attacks and strokes,92.1% for 20 years,,Quitting smoking and alcohol,Blood acidity and electrolyte tests ,What is an A1c?,A Hemoglobin A1c is a 2-3 month average of your blood sugars. The recommended A1c is less than 7,diabetes
Numbness or tingling in the hands or feet,Obesity,,Decreased muscle strength.,Frequent urination,"Fatigue, Headache, Dehydration, Vomiting",,Sulfonylureas,Glyburide,Control your blood pressure,,,Pancreas transplant,12690 per month (renal),"Facts: Combined with reduced blood flow, neuropathy (nerve damage) in the feet increases the chance of foot ulcers, infection and eventual need for limb amputation.",79.6% for 30 years,,Resistance exercise,Urinalysis,What is Diabetes Mellites? How do you get it?,A high level of glucose in the blood is called diabetes.,diabetes
Slow-healing sores or cuts,Premature birth,,,Nausea,Weight loss,,Meglitinides,Metformin,Exercising regularly and Losing weight,,,"Bariatric surgery is an option if you have Type 2 diabetes, are obese (body mass index over 35) and considered a good candidate for this type of surgery.",13135 per month (cardiac),"Facts: Diabetic retinopathy is an important cause of blindness, and occurs as a result of long-term accumulated damage to the small blood vessels in the retina.","outlook and life expectancy with brittle diabetes include : Complications, such as problems with the eyes, kidneys, heart and nerves, Frequent hospitalizations, Problems with pregnancy, Shorter life expectancy.",,Limited inactivity,Chest X-ray,How to manage Diabetes?,The most important part of managing diabetes is your diet,diabetes
Unplanned weight loss,,,,,Vaginal and skin infections,,Insulin Therapy,Pioglitozone,"Type 1 diabetes: If you have this type, you must take insulin every day. Your pancreas no longer makes insulin.",,,"If your blood sugar is too high, you'll receive: Intravenous fluids, Supplements of phosphate, sodium, and potassium, Insulin",13922 per month (retinal),Facts: Diabetes is among the leading causes of kidney failure,,,"Lower your stress. Learn relaxation techniques, deep breathing exercises, mindful meditation, yoga and other helpful strategies.",ECG or EKG, What can I do to prevent Diabetes?,"The prevention of diabetes requires physical efforts every day,",diabetes
Dry mouth,,,,,Slow-healing cuts and sores,,Incretinmimetics,Rosiglitozone,"Type 2 diabetes: If you have this type, your treatments can include medications (both for diabetes and for conditions that are risk factors for diabetes), insulin and lifestyle changes such as losing weight, making healthy food choices and being more physically active.",,,"If your blood sugar is too low, you will receive: Glucagon (a hormone to increase blood sugar), Intravenous fluids, 50% dextrose solution. ",,,,,Prevent dehydration and keep skin hydrated by drinking plenty of fluids.,screening for early signs of diabetes-related kidney disease and treatment.,What are the complications of Diabetes Mellitus?,iabetes Mellitus can affect your kidney heart eyes and nerves,diabetes
Eating disorders,,,,,Deep labored breathing or hyperventilation,,,,"ketoacidosis treatment include Blood glucose test, Basic metabolic panel, Ketone testing, Arterial blood gas, Osmolality blood test, Prescribing oral or IV antibiotics to control and eliminate infection.",,,"Main treatments for more advanced diabetic retinopathy are: laser treatment, injections of medication into your eyes, an operation to remove blood or scar tissue from your eye",,,,,"To reduce  risk of diabetes-related foot pain Checking your feet every day for any changes, Don't forget to look between your toes, Keeping your toenails trimmed and filed. Cut them straight across to prevent ingrown toenails, Washing your feet every day in warm water, not hot. Dry them thoroughly afterward, including between the toes. Then apply lotion to the tops and bottoms of the feet, but not between the toes, controlling your blood sugar, blood pressure and cholesterol levels,taking your diabetes medicine as prescribed, maintaining a healthy weight, eating a healthy, balanced diet, exercising regularly and stopping smoking.","Fasting plasma glucose test, Random plasma glucose test",How common are diabetes-related foot conditions?,The chance that a person with diabetes will develop a foot condition at some time in their life is about 15%.,diabetes
"Stress, anxiety, depression, Sweating",,,,,Rapid heartbeat,,,,"Diabetes treated by Continuous glucose monitor, Insulin pump,Islet cell transplantation, Pancreas transplant",,,,,,,,To reduce  risk of diabetes-related foot pain Getting your feet checked at every visit with a healthcare provider.,A1c test,What is the outlook for people with diabetes-related foot conditions?,"The outlook depends on factors such as: How early the wound was found, Presence of infection and how much it spreads, Treatment effectiveness. If the infection can't be controlled and spreads too far, amputation may be necessary.",diabetes
"Dizziness, weakness or shaking",,,,,High blood glucose (blood sugar) levels (over 250 mg/dL),,,,,,,,,,,,,"Oral glucose tolerance test, Gestational diabetes tests, Gestational diabetes",When should I seek medical care for diabetes-related foot pain?,"Any changes in foot shape, Any changes to the skin on the feet, including a wound, redness or darkness, warmth or a funny smell, Hair loss on your toes, feet or legs, Loss of feeling in the toes, feet or legs, Pain, tingling, burning or cramping in the feet or legs, Thick, yellow toenails.",diabetes
"Fast heart rate, Pale skin, Restless sleep",,,,,"Shortness of breath, Fruity-smelling breath",,,,,,,,,,,,,Glucose challenge test and Glucose tolerance test,What is diabetes?,Diabetes happens when your body isn't able to take up sugar (glucose) into its cells and use it for energy. This results in a build up of extra sugar in your bloodstream.,diabetes
