Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms (critical_stage),Medication (general),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants) ,Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers
Heart attack: Chest pain or discomfort,,,,Angina (dull and heavy or sharp chest pain or discomfort),,,,,Medical Surgery,,,,"Per bed per day cost incurred by the hospital for admitted patients in Cardiac Care Unit, adult and pediatric cardiology ward was calculated to be Indian Rupee (INR) 28,144 (US$ 434), INR 22,210 (US$ 342) and INR 18,774 (US$ 289),","MYTH 1: If you have heart disease, you need to take it easy.",CVD death rate of 272 per 100000,Yeshasvini scheme,Choose healthy meals and snacks to help prevent heart disease and its complications. Be sure to eat plenty of fresh fruits and vegetables and fewer processed foods.,Physical exam and blood tests,What are the rules of thumb for a layman to take care of his heart?,"Diet - Less of carbohydrate, more of protein, less oil. Exercise - Half an hour's walk, at least five days a week; avoid lifts and avoid sitting for a longtime. Quit smoking. Control weight Control blood pressure and sugar."
 upper back or neck pain,,,,"Pain in the neck, jaw, or throat",,,,,Medication depending on type of heart disease,,,,"Overall, per patient cost of managing any cardiovascular illness in hospital was computed to be INR 2,25,293 (US $ 3476) and cost after including administrative overheads was estimated to be INR 2,47,822 (US $ 3824)","MYTH 2: If you take a cholesterol-lowering drug, you can eat anything.","In India in 2016, CVDs contributed to 28·1% of total deaths and 14·1% of total disability-adjusted life years (DALYs) ",Tamil Nadu State Illness Assistance Society with a revolving fund of Rs. 15 crores as an initial corpus fund,Eating lots of foods high in saturated fat and trans fat may contribute to heart disease.,Electrocardiogram,Is eating non-veg food (fish) good for the heart?,No
 indigestion,,,,Pain in the upper abdomen or back,,,,,,,,,,MYTH 3: It's okay to have higher blood pressure when you're older.,,Rajiv Gandhi Arogya Yojana This is UP government's pilot project at Amethi for out patient care of cardiact problems.,"Eating foods high in fiber and low in saturated fats, trans fat, and cholesterol can help prevent high cholesterol.",Echocardiogram,It's still a grave shock to hear that an apparently healthy person underwent a cardiac arrest. How do we understand it in perspective?,This is called silent attack; that is why we recommend everyone past the age of 30 to undergo routine health checkups.
 heartburn,,,,Nausea,,,,,,,,,,MYTH 4: Diabetes won't cause heart disease if you take diabetes medication.,,"In 2004, the government of AP announced financial aid for the treatment of children aged 0–12 years suffering from heart diseases by utilizing facilities in government and private hospitals.",Limiting salt (sodium) in your diet can also lower your blood pressure.,Stress test,Are heart diseases hereditary?,yes
 nausea or vomiting,,,,Vomiting,,,,,,,,,,MYTH 5: You can lower your risk of heart disease with vitamins and supplements.,,Children are also referred from Gujarat at the discretion of the state-run UN Mehta cardiac center to Bangalore for advanced and complex heart surgeries. The entire cost of the surgery is borne by the state government.,Limiting sugar in your diet can lower your blood sugar level to prevent or help control diabetes.,Carotid ultrasound,What are the ways in which the heart is stressed? What practices do you suggest to de-stress?,Change your attitude towards life. Do not look for perfection in everything in life.
 extreme fatigue,,,,Fatigue,,,,,,,,,,"MYTH 6: If you have smoked for years, you can't reduce your risk of heart disease by quitting.",,,"Do not drink too much alcohol, which can raise your blood pressure. Men should have no more than 2 drinks per day, and women no more than 1 drink per day. For more information, visit CDCï¿½s Alcohol and Public Health website.",Holter monitor,Is walking better than jogging or is more intensive exercise required to keep a healthy heart?,Walking is better than jogging since jogging leads to early fatigue and injury to joints.
 upper body discomfort,,,,,,,,,,,,,,MYTH 7: Heart disease is really a man's problem.,,,"Learn more about healthy diet and nutrition at CDCï¿½s Nutrition, Physical Activity, and Obesity website.",Chest X-ray,Why is the rate of heart attacks more in men than in women?,Nature protects women till the age of 45.
 dizziness,,,,,,,,,,,,,,"MYTH 8: If you have heart disease, you should eat as little fat as possible.",,,"Find healthy, seasonal recipes on the Million Heartsï¿½ Recipes for a Heart-Healthy Lifestyle pageexternal icon.",Heart MRI,Can people with low blood pressure suffer heart diseases?,Extremely rare
 and shortness of breath.,,,,,,,,,,,,,,MYTH 9: A small heart attack is no big deal.,,,People with overweight or obesity have a higher risk for heart disease. Carrying extra weight can put extra stress on the heart and blood vessels.,CT scan,Does cholesterol accumulates right from an early age? I'm currently only 22. Do I have to worry about it only after I am above 30 years of age?,Cholesterol accumulates from childhood.
Arrhythmia: Fluttering feelings in the chest (palpitations).,,,,,,,,,,,,,,"MYTH 10: Angioplasty and stenting or bypass surgery ""fix"" your heart.",,,"To find out if your weight is in a healthy range, you can calculate your Body Mass Index (BMI) at CDCï¿½s Assessing Your Weight website.",,How do irregular eating habits affect the heart?,You tend to eat junk food when the habits are irregular and your body's enzyme release for digestion gets confused.
