Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(Female),Symptoms(Critical_stage),Medication (General),Medication(babies/infants),Medication(old people),Treatment(General),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses ,Facts_or_Myths,Survival_Rate,Funding,Prevention ,Diagnosis,FAQ ,FAQ Answers 
Upper RTI :Cough," Upper RTI :Bronchiolitis, an infection that causes wheezing and coughing",Upper RTI :Nasal congestion,,,Upper RTI : Loss of consciousness,,,,Upper RTI : You can most likely treat the symptoms at home through pain relievers,,,,,,,,Upper RTI : Avoid being in close contact with people who are sick.,Upper RTI : Lung (chest) X-ray,Upper RTI : What is an upper respiratory infection?,"Upper RTI : These infections affect your sinuses and throat. Upper respiratory infections include:
Common cold.Epiglottitis.Laryngitis.Pharyngitis (sore throat).Sinusitis (sinus infection)."
Upper RTI :Fever," Upper RTI :Common cold, which usually involves a runny nose, cough and feeling run-down",Upper RTI :Sneezing,,,Upper RTI : High fever (higher than 103 F),,,,Upper RTI : rest and drinking fluids,,,,,,,,"Upper RTI : Wipe down objects such as remote controls, phones, and doorknobs that may be touched by people in the house who have a URI.",Upper RTI : Lung CT scan,Upper RTI : What causes upper respiratory infections?,"Upper RTI : You get an upper respiratory infection when a virus (or bacteria) enters your respiratory system. For example, you might touch an infected surface or shake hands with a person who’s sick. You then touch your mouth, nose or eyes. The germs from your hands enter and infect your body."
Upper RTI : Hoarse voice," Upper RTI :Croup, which causes a hoarse cough that sounds like a seal",Upper RTI : A runny nose,,,Upper RTI : Rapid breathing or difficulty breathing,,,,"Upper RTI : If you have a bacterial infection, such as strep throat, you’ll take antibiotics. Penicillin or amoxicillin are frequently prescribed for strep throat",,,,,,,,Upper RTI : Cover your mouth and nose if you’re the one who’s sick.,Upper RTI : Lung (pulmonary) function test to see how your lungs are working,Upper RTI : Who’s at risk for upper respiratory infections?,"These infections are common, and anyone can catch one. Yet certain groups of people are more at risk of catching infections. Children are at a high risk since they are often with other children who may be carrying a virus. Children may also wash their hands less frequently than adults. Plus, they’re more likely to put their fingers in their eyes, nose and mouth, allowing the germs to spread easily.
People who have heart or lung problems are also at higher risk of getting an upper respiratory infection. Those who have weak immune systems (due to another disease) may get more severe infections."
Upper RTI: Fatigue and lack of energy," Upper RTI : Ear infections, when bacteria infect the middle ear, causing pain",Upper RTI :Coughing,,,"Upper RTI : Frequent, severe coughing, which may come with vomiting",,,,Lower RTI : Intravenous fluids,,,,,,,,Upper RTI : Stay home if you’re sick.,Upper RTI : Nasal swab,Upper RTI : How are upper respiratory infections diagnosed?,"Upper RTI : Your healthcare provider may diagnose the infection based on a physical exam and your symptoms. They’ll look in your nose, ears and throat and listen to your chest to examine your breathing. You often don’t need other tests.
If your provider is concerned you may have a lung infection or another infection, you may need : Lung (chest) X-ray,Lung CT scan,Lung (pulmonary) function test to see how your lungs are working.Nasal swab,Throat swab.Sputum test, when you cough up some sputum (phlegm from your lungs) for examination."
Upper RTI: Red eyes," Upper RTI : Pink eye, an eye infection, usually bacterial, that can cause a thick yellow discharge from the eye.",Upper RTI :Wheezing,,,"Upper RTI : Wheezing, a high-pitched whistling sound when you breathe out",,,,Lower RTI : Humidified oxygen,,,,,,,,Lower RTI : washing their hands frequently,Upper RTI : Throat swab.,Upper RTI : Are upper respiratory infections contagious?,"Upper RTI : Yes, upper respiratory infections are contagious. They pass from person to person through respiratory droplets or hand-to-hand contact. People who have an upper respiratory infection can pass it to others through:Sneezing or coughing without covering their nose and mouth. This sprays germs into the air. Other people can breathe in those germ-filled droplets.
Sneezing or coughing into their hand and then touching someone else’s hand. The droplets are now on the other person’s hand. When that person touches their nose, mouth or eyes, the infection enters their body."
Upper RTI: Runny nose," Upper RTI : Sinus infection, when viruses or bacteria infect and inflame the sinuses, causing pain.",Upper RTI :Mucus production,,,Upper RTI : Dizziness,,,,"Lower RTI : Ventilation support, i.e., high flow oxygen, CPAP, BiPAP or mechanical ventilation, if severe respiratory insufficiency develops",,,,,,,,Lower RTI : avoiding touching the face with unwashed hands,"Upper RTI : Sputum test, when you cough up some sputum (phlegm from your lungs) for examination",Upper RTI : What are the symptoms of upper respiratory infections?,"Upper RTI : You may get symptoms, including:Cough,Fever,Hoarse voice,Fatigue and lack of energy,Red eyes,Runny nose,Sore throat,Swollen lymph nodes (swelling on the sides of your neck)."
Upper RTI: Sore throat," Upper RTI : Sore throat, which can be viral or bacterial (strep throat).",Upper RTI :Throat soreness,,,"Upper RTI : Retractions, when you see a deeper outline of your ribcage or ribs than you normally do",,,,,,,,,,,,Lower RTI : staying away from people with respiratory symptoms,Lower RTI : Pulse Oximetry: this test uses a small sensor that attaches to the finger or ear. It uses light to estimate how much oxygen is present in the blood.,Upper RTI : How long do upper respiratory infections last?,"Upper RTI : Upper respiratory infections typically last one to two weeks. Most of the time, they go away on their own. Over-the-counter pain medications can help you feel better. Make sure you drink plenty of fluids to stay hydrated.If your symptoms last longer than two weeks, talk to your healthcare provider. You may have another condition that is causing the symptoms, such as pneumonia or bronchitis."
Upper RTI : Swollen lymph nodes (swelling on the sides of your neck),,Upper RTI :Pain when swallowing,,,"Upper RTI : Stridor, a harsh raspy vibrating when you breathe in that sometimes sounds like a seal. (Stridor is more common in children than adults)",,,,,,,,,,,,Lower RTI : cleaning and disinfecting surfaces regularly,Lower RTI : Chest X-ray: creates an image of the lungs. Doctors can visually inspect this image for signs of pneumonia.,Upper RTI : Can antibiotics treat upper respiratory infections?,"Upper RTI : Most of the time, viruses cause upper respiratory infections. Viruses don’t respond to antibiotics. You can most likely treat the symptoms at home through pain relievers, rest and drinking fluids. If you have a bacterial infection, such as strep throat, you’ll take antibiotics. Penicillin or amoxicillin are frequently prescribed for strep throat."
Lower RTI : Congestion or runny nose,,Upper RTI :Headache,,,Lower RTI : Fever,,,,,,,,,,,,"Lower RTI : getting vaccines, such as the pneumococcal vaccine and MMR vaccine","Lower RTI : Blood Test: a sample of blood is taken and inspected in a laboratory for the presence of viruses, bacteria, or other organisms.",Upper RTI : When should I see a healthcare provider for an upper respiratory infection?,"Upper RTI : If you have any of these symptoms, contact your healthcare provider or seek medical help:
Loss of consciousness,High fever (higher than 103 F),Rapid breathing or difficulty breathing,Frequent, severe coughing, which may come with vomiting,Wheezing, a high-pitched whistling sound when you breathe out,Dizziness,Retractions, when you see a deeper outline of your ribcage or ribs than you normally do. (This sign may be more obvious in children).
Stridor, a harsh raspy vibrating when you breathe in that sometimes sounds like a seal. (Stridor is more common in children than adults)."
Lower RTI : Dry cough,,,,,Lower RTI : Severe cough,,,,,,,,,,,,Lower RTI : getting a flu shot every year,Lower RTI : Laboratory Tests: a sample of sputum or mucus is taken and inspected in a laboratory for the presence of bacterial organisms.,Upper RTI : Is the flu an upper respiratory infection?,"Upper RTI : Influenza, or the flu, isn’t considered an upper respiratory infection. That’s because it’s systemic — it affects more than one system in the body. It usually affects the upper and lower respiratory system. The cold and flu have similar symptoms.
"
